date,new_case,death
9-27-2020,1275,32
9-28-2020,1407,32
9-29-2020,1488,26
9-30-2020,1436,32
10-1-2020,1508,21
10-2-2020,1396,33
10-3-2020,1182,20
10-4-2020,1125,23
10-5-2020,1442,27
10-6-2020,1499,30
10-7-2020,1520,35
10-8-2020,1441,20
10-9-2020,1278,17
10-10-2020,1203,23
10-11-2020,1193,24
10-12-2020,1472,31
10-13-2020,1537,22
10-14-2020,1684,16
10-15-2020,1600,15
10-16-2020,1527,15
10-17-2020,1209,23
10-18-2020,1274,14
10-19-2020,1637,21
10-20-2020,1380,18
10-21-2020,1545,24
10-22-2020,1696,24
10-23-2020,1586,14
10-24-2020,1094,19
10-25-2020,1308,23
10-26-2020,1436,15
10-27-2020,1335,20
10-28-2020,1493,23
10-29-2020,1681,25
10-30-2020,1604,19
10-31-2020,1320,18
11-1-2020,1568,18
11-2-2020,1736,25
11-3-2020,1659,17
11-4-2020,1517,21
11-5-2020,1842,17
11-6-2020,1469,15
11-7-2020,1289,13
11-8-2020,1474,18
11-9-2020,1683,25
11-10-2020,1699,16
11-11-2020,1733,19
11-12-2020,1845,13
11-13-2020,1767,19
11-14-2020,1531,14
11-15-2020,1837,21
11-16-2020,2139,21
11-17-2020,2212,39
11-18-2020,2111,21
11-19-2020,2364,30
11-20-2020,2275,17
11-21-2020,1847,28
11-22-2020,2060,38
11-23-2020,2419,28
11-24-2020,2230,32
11-25-2020,2156,39
11-26-2020,2292,37
11-27-2020,2273,20
11-28-2020,1908,36
11-29-2020,1788,29
11-30-2020,2525,35
12-1-2020,2293,31
12-2-2020,2198,38
12-3-2020,2316,35
12-4-2020,2252,24
12-5-2020,1888,35
12-6-2020,1666,31
12-7-2020,2198,36
12-8-2020,2202,32
12-9-2020,2159,24
12-10-2020,1861,37
12-11-2020,1884,19
12-12-2020,1329,34
12-13-2020,1355,32
12-14-2020,1799,37
12-15-2020,1877,40
12-16-2020,1632,27
12-17-2020,1134,36
12-18-2020,1318,25
12-19-2020,1267,25
12-20-2020,1153,38
12-21-2020,1470,32
12-22-2020,1318,17
12-23-2020,1367,30
12-24-2020,1234,19
12-25-2020,1163,20
12-26-2020,834,30
12-27-2020,1049,24
12-28-2020,932,27
12-29-2020,1181,30
12-30-2020,1235,22
12-31-2020,1014,28
1-1-2021,990,17
1-2-2021,684,23
1-3-2021,835,27
1-4-2021,910,24
1-5-2021,991,20
1-6-2021,978,17
1-7-2021,1007,31
1-8-2021,785,16
1-9-2021,692,22
1-10-2021,1071,25
1-11-2021,849,22
1-12-2021,718,16
1-13-2021,890,14
1-14-2021,813,16
1-15-2021,762,13
1-16-2021,578,21
1-17-2021,569,23
1-18-2021,697,16
1-19-2021,702,20
1-20-2021,656,8
1-21-2021,584,16
1-22-2021,619,15
1-23-2021,436,22
1-24-2021,473,20
1-25-2021,602,18
1-26-2021,515,14
1-27-2021,528,17
1-28-2021,509,15
1-29-2021,454,7
1-30-2021,363,17
1-31-2021,369,16
2-1-2021,443,10
2-2-2021,525,12
2-3-2021,438,13
2-4-2021,485,13
2-5-2021,435,7
2-6-2021,305,8
2-7-2021,292,15
2-8-2021,316,16
2-9-2021,387,8
2-10-2021,388,10
2-11-2021,418,9
2-12-2021,404,5
2-13-2021,291,13
2-14-2021,326,8
2-15-2021,446,11
2-16-2021,396,13
2-17-2021,443,16
2-18-2021,391,15
2-19-2021,406,8
2-20-2021,350,5
2-21-2021,327,7
2-22-2021,366,7
2-23-2021,399,18
2-24-2021,428,5
2-25-2021,410,5
2-26-2021,470,11
2-27-2021,407,5
2-28-2021,385,8
3-1-2021,585,8
3-2-2021,515,7
3-3-2021,614,5
3-4-2021,619,7
3-5-2021,635,6
3-6-2021,540,10
3-7-2021,606,11
3-8-2021,845,14
3-9-2021,912,13
3-10-2021,1018,7
3-11-2021,1051,6
3-12-2021,1066,13
3-13-2021,1014,12
3-14-2021,1159,18
3-15-2021,1773,26
3-16-2021,1719,26
3-17-2021,1865,11
3-18-2021,2187,16
3-19-2021,1899,18
3-20-2021,1868,26
3-21-2021,2172,22
3-22-2021,2809,30
3-23-2021,3554,18
3-24-2021,3567,25
3-25-2021,3587,34
3-26-2021,3737,33
3-27-2021,3674,39
3-28-2021,3908,35
3-29-2021,5181,45
3-30-2021,5042,45
3-31-2021,5358,52
4-1-2021,6469,59
4-2-2021,6830,50
4-3-2021,5683,58
4-4-2021,7087,53
4-5-2021,7075,52
4-6-2021,7213,66
4-7-2021,7626,63
4-8-2021,6854,74
4-9-2021,7462,63
4-10-2021,5343,77
4-11-2021,5819,78
4-12-2021,7201,83
4-13-2021,6028,69
4-14-2021,5185,96
4-15-2021,4192,94
4-16-2021,4417,101
4-17-2021,3473,101
4-18-2021,3698,102
4-19-2021,4271,112
4-20-2021,4559,91
4-21-2021,4280,95
4-22-2021,4014,98
4-23-2021,3629,88
4-24-2021,2697,83
4-25-2021,2922,101
4-26-2021,3306,97
4-27-2021,3031,78
4-28-2021,2955,77
4-29-2021,2341,88
4-30-2021,2177,57
5-1-2021,1452,60
5-2-2021,1359,69
5-3-2021,1739,65
5-4-2021,1914,61
5-5-2021,1742,50
5-6-2021,1822,41
5-7-2021,1682,37
5-8-2021,1285,45
5-9-2021,1386,56
5-10-2021,1514,38
5-11-2021,1230,33
5-12-2021,1140,40
5-13-2021,1290,31
5-14-2021,848,26
5-15-2021,261,22
5-16-2021,363,25
5-17-2021,698,32
5-18-2021,1272,30
5-19-2021,1608,37
5-20-2021,1457,36
5-21-2021,1504,26
5-22-2021,1028,38
5-23-2021,1354,28
5-24-2021,1441,25
5-25-2021,1675,40
5-26-2021,1497,17
5-27-2021,1292,22
5-28-2021,1358,31
5-29-2021,1043,38
5-30-2021,1444,34
5-31-2021,1710,36
6-1-2021,1765,41
6-2-2021,1988,34
6-3-2021,1687,30
6-4-2021,1887,34
6-5-2021,1447,43
6-6-2021,1676,38
6-7-2021,1970,30
6-8-2021,2322,44
6-9-2021,2537,36
6-10-2021,2576,40
6-11-2021,2454,43
6-12-2021,1637,39
6-13-2021,2436,47
6-14-2021,3050,54
6-15-2021,3319,50
6-16-2021,3956,60
6-17-2021,3840,63
6-18-2021,3883,54
6-19-2021,3057,67
6-20-2021,3641,82
6-21-2021,4636,78
6-22-2021,4846,76
6-23-2021,5727,85
6-24-2021,6058,81
6-25-2021,5869,108
6-26-2021,4334,77
6-27-2021,5268,119
6-28-2021,8364,104
6-29-2021,7666,112
6-30-2021,8822,115
7-1-2021,8301,143
7-2-2021,8483,132
7-3-2021,6214,134
7-4-2021,8661,153
7-5-2021,9964,164
7-6-2021,11525,163
7-7-2021,11162,201
7-8-2021,11651,199
7-9-2021,11324,212
7-10-2021,8772,185
7-11-2021,11874,230
7-12-2021,13768,220
7-13-2021,12198,203
7-14-2021,12383,210
7-15-2021,12236,226
7-16-2021,12148,187
7-17-2021,8489,204
7-18-2021,11578,225
7-19-2021,13321,231
7-20-2021,11579,200
7-21-2021,7614,173
7-22-2021,3697,187
7-23-2021,6364,166
7-24-2021,6780,195
7-25-2021,11291,228
7-26-2021,15192,247
7-27-2021,14925,258
7-28-2021,16230,237
7-29-2021,15271,239
7-30-2021,13862,212
7-31-2021,9369,218
8-1-2021,14844,231
8-2-2021,15989,246
8-3-2021,15776,235
8-4-2021,13817,241
8-5-2021,12744,264
8-6-2021,12606,248
8-7-2021,8136,261
8-8-2021,10299,241
8-9-2021,11463,245
8-10-2021,11164,264
8-11-2021,10420,237
8-12-2021,10126,215
8-13-2021,8465,197
8-14-2021,6885,178
8-15-2021,6684,187
8-16-2021,6959,174
8-17-2021,7535,198
8-18-2021,7248,172
8-19-2021,6566,159
8-20-2021,5993,145
8-21-2021,3991,120
8-22-2021,4804,139
8-23-2021,5717,117
8-24-2021,5249,114
8-25-2021,4966,114
8-26-2021,4698,102
8-27-2021,3525,117
8-28-2021,3436,80
8-29-2021,3948,89
8-30-2021,3724,94
8-31-2021,3357,86
9-1-2021,3062,79
9-2-2021,3536,88
9-3-2021,3167,70
9-4-2021,1743,61
9-5-2021,2430,70
9-6-2021,2710,65
9-7-2021,2639,56
9-8-2021,2497,52
9-9-2021,2588,58
9-10-2021,2325,38
9-11-2021,1327,48
9-12-2021,1871,51
9-13-2021,1953,41
9-14-2021,2074,35
9-15-2021,1901,51
9-16-2021,1862,51
9-17-2021,1907,38
9-18-2021,1190,35
9-19-2021,1383,43
9-20-2021,1555,26
9-21-2021,1562,26
9-22-2021,1376,36
9-23-2021,1144,24
9-24-2021,1233,31
9-25-2021,818,25
9-26-2021,980,21
9/27/2021,1212,25
9/28/2021,1310,31
9/29/2021,1178,17
9/30/2021,860,23
10/1/2021,847,21
10/2/2021,589,24
10/3/2021,617,18
10/4/2021,794,18
10/5/2021,694,23
10/6/2021,703,21
10/7/2021,663,12
10/8/2021,645,7
10/9/2021,415,40
10/10/2021,481,14
10/11/2021,599,11
10/12/2021,543,14
10/13/2021,518,17
10/14/2021,466,7
10/15/2021,396,9
10/16/2021,293,6
10/17/2021,314,16
10/18/2021,339,10
10/19/2021,469,7
10/20/2021,368,6
10/21/2021,243,10
10/22/2021,232,4
10/23/2021,278,9
10/24/2021,275,9
10/25/2021,289,5
10/26/2021,276,6
10/27/2021,306,7
10/28/2021,295,6
10/29/2021,305,7
10/30/2021,166,8
10/31/2021,211,6
11/1/2021,214,2
11/2/2021,229,3
11/3/2021,256,7
11/4/2021,247,7
11/5/2021,196,3
11/6/2021,350,4
11/7/2021,178,4
11/8/2021,215,6
11/9/2021,206,3
11/10/2021,235,2
11/11/2021,237,1
11/12/2021,221,5
11/13/2021,151,6
11/14/2021,223,4
11/15/2021,234,4
11/16/2021,213,2
11/17/2021,266,6
11/18/2021,244,5
11/19/2021,253,7
